Title,Authors
Using an improved YOLOv5s network for the automatic detection of silicon on wheat straw epidermis of micrographs.,"Qianru Zhang,Huaibo Song,Yunfei Wang,Mengxuan Han,Lei Song"
Maximising Coefficiency of Human-Robot Handovers Through Reinforcement Learning.,"Marta Lagomarsino,Elena De Momi,Marta Lorenzini,Cristina Becchio,Arash Ajoudani,Merryn Dale Constable"
Dynamic Control of Soft Robotic Arm: An Experimental Study.,"Isuru S. Godage,Anthony L. Gunderman,Yue Chen,Milad Azizkhani"
Automatic Alignment of Fractured Femur: Integration of Robot and Optical Tracking System.,"Marzieh S. Saeedi-Hosseiny,Iulian Iordachita,Mohammad H. Abedinnasab,Michael P. Clancy,Fayez Alruwaili,Nidhal C. Bouaynaya,Emily A. Corson,Sean McMillan,Charalampos Papachristou"
Real-Time Intraoperative Surgical Guidance System in the da Vinci Surgical Robot Based on Transrectal Ultrasound/Photoacoustic Imaging With Photoacoustic Markers: An Ex Vivo Demonstration.,"Jin U. Kang,Yixuan Wu,Bai-Chuan Jiang,Septimiu E. Salcudean,Hyunwoo Song,Hamid Moradi,Anton Deguet,Russell H. Taylor,Keshuai Xu,Emad M. Boctor"
Time-Varying Constraint-Driven Optimal Task Execution for Multiple Autonomous Underwater Vehicles.,"Bochen Li,Xinping Guan,Shanying Zhu,Chenggang Wang,Lei Song"
Flexible Needle Bending Model for Spinal Injection Procedures.,"Ka-Wai Kwok,Yanzhou Wang,Kevin Cleary,Russell H. Taylor,Iulian Iordachita"
GRACE: Online Gesture Recognition for Autonomous Camera-Motion Enhancement in Robot-Assisted Surgery.,"Peter Kazanzides,Elena De Momi,Anton Deguet,Nicol,Andrea Mariani"
Autonomous System for Vaginal Cuff Closure via Model-Based Planning and Markerless Tracking Techniques.,"Karen C. Wang,Justin D. Opfermann,Jin U. Kang,Michael Kam,Shuwen Wei,Michael H. Hsieh,Axel Krieger,Hamed Saeidi"
Jamming Enabled Variable Stiffness Wrist Exoskeleton for Tremor Suppression.,"Yifan Wang,Xudong Yang,Hailu Wang,Weinan Gao,Guohui Wang"
Concentric Tube Robot Redundancy Resolution via Velocity/Compliance Manipulability Optimization.,"Yifan Wang,Deqiang Qiu,Milad Azizkhani,Yue Chen,Jia Shen"
