Title,Authors
SPINS: A structure priors aided inertial navigation system.,"Thien-Minh Nguyen,Yang Lyu,Shenghai Yuan,Liu Liu,Lihua Xie,Thien Hoang Nguyen,Muqing Cao"
"Cover Image, Volume 40, Number 5, August 2023.","Xinghong Ye,Yang Yang,Zhiguo He,Pengcheng Jiao,Haipeng Wang"
Combustion-enabled underwater vehicles (CUVs) in dynamic fluid environment.,"Xinghong Ye,Yang Yang,Zhiguo He,Pengcheng Jiao,Haipeng Wang"
Modeling of flexible metal wheel for pressurized lunar rover and traction performance prediction.,"Yuqiong Li,Kang Wang,Yan Shen,Meng Zou,Jingna Liu,Pujun Hao,Jianzhong Zhu"
Earthwork digital twin for teleoperation of an automated bulldozer in edge dumping.,"Cheng Zhou,Chao Huang,Zhangang Wu,Ke You,Lieyun Ding,Weiya Chen,Ruwei Zhang,Jindong Xu"
Research on fault diagnosis of bearings in walking part of wall-building robot based on roadside acoustic signal.,"Heng Zhou,Yunjian Hu,Tianhao Gao,Ke Zhang,Lu Chen"
Study on climbing strategy and analysis of Mars rover.,"Baofeng Yuan,Lining Chen,Dong Pan,Qiang Zhang,Yansong Liu,Zhen Chen,Meng Zou"
Research on disturbance rejection motion control method of USV for UUV recovery.,"Shuo Pang,Jiaqi Sun,Ye Li,Yunwei Xin,Yulei Liao,Zizheng Zhai,Bo Wang,Tingpeng Du,Congcong Chen"
An efficient online citrus counting system for large-scale unstructured orchards based on the unmanned aerial vehicle.,"Haoran Chen,Juntao Xiong,Xiao Wang,Qiyin Huang,Yonglin Han,Zexing Li,Zhenhui Zheng"
Nonlinear coupling tracking control for underactuated construction lifting robots with load hoisting/lowering under initial input saturations.,"Zhe Yuan,Honglei Yang,Lu Chen,Fuxing Yao,Tian Zhang,Yonghao Wang"
Obstacle avoidance tracking control with antiswing and tracking errors constraint for underactuated automated lifting robots with load hoisting/lowering.,"Guowei Li,Lu Chen,Huaitao Shi,Ke Zhang,Zhiwen Tan"
Development of a search and rescue robot system for the underground building environment.,"Han Wang,Pengchao Ding,Zhenquan Fan,Yueming Liu,Zhijiang Du,Gongcheng Wang,Hua Bai,Hongbiao Zhu,Weidong Wang"
Digital twin-assisted fault diagnosis system for robot joints with insufficient data.,"Huaitao Shi,Guowei Li,Xiaotian Bai,Zelong Song"
Experimental and theoretical analysis on truss construction robot: Automatic grasping and hoisting of concrete composite floor slab.,"Wenfeng Liang,Wenpo Xu,Zhongshan Zhang,Shenghao Tong,Xiaochen Zhang,Yonghao Wang"
Actuator fault detection for masonry robot manipulator arm with the interval observer.,"Jinbao Zhao,Hao Zhang,Yanzheng Huang,Jianan Li,Ke Zhang,Yunfei Bai,Maxiao Hou"
A new method for calculating time-varying torsional stiffness of RV reducers with variable loads and tooth modifications.,"Junyi Cao,Wenlei Song,Yaguo Lei,Xiao Yang,Huan Liu,Xuanyu Gao"
Design and analysis of a wall-climbing robot for passive adaptive movement on variable-curvature metal facades.,"Zhe Ma,Ze Jiang,Yundou Xu,Zhongjin Ju,Dianzheng Wang"
Improved subspace modal identification of industrial robots.,"Junyi Cao,Yaguo Lei,Qinghua Liu,Guohui Huang,Huan Liu,Yuting Qiao"
Optimization and evaluation of swing leg retraction for a hydraulic biped robot.,"Huafeng Lu,Guangrong Chen,Jin Li,Lei Yan,Ningze Wei"
Design and analysis of a wall-climbing robot for water wall inspection of thermal power plants.,"Ze Jiang,Yundou Xu,Bo Chen,Zhongjin Ju,Yongsheng Zhao,Yichao Li"
Three-dimensional dead reckoning of wall-climbing robot based on information fusion of compound extended Kalman filter.,"Lin Li,Tie Zhang,Zhenye Wei,Di Cai"
Research on unmanned electric shovel autonomous driving path tracking control based on improved pure tracking and fuzzy control.,"Yongpeng Wang,Guangyong Guo,Wentao Qu,Guoqiang Wang,Qiushi Bi,Guohua Wu,Yi Fang"
Using an improved YOLOv5s network for the automatic detection of silicon on wheat straw epidermis of micrographs.,"Huaibo Song,Lei Song,Qianru Zhang,Yunfei Wang,Mengxuan Han"
Automatic terminal guidance for small fixed-wing unmanned aerial vehicles.,"Zhenbei Wang,Chang Liu,Yachao Yang,Jie Li,Yu Yang,XueYong Wu,Lei Fu,Xiao Xu,Juan Li"
The Impact of Mobile Resources on Enhancing Lifelong Learning Among Chinese Undergraduate EFL Students: A Gender-Based Exploration.,"Shaidatul Akma Adi Kasuma,Salasiah Che Lah,Li Liu"
HGST: A Hilbert-GeoSOT Spatio-Temporal Meshing and Coding Method for Efficient Spatio-Temporal Range Query on Massive Trajectory Data.,"Jining Yan,Hong Liu,Bo Chen,Jinlin Wang,Xiaohui Huang,Meng Chen"
An Intelligent UAV Path-Planning Method Based on the Theory of the Three-Dimensional Subdivision of Earth Space.,"Qian Xu,Haojiang Deng,Tengteng Qu,Chengqi Cheng,Guoyi Sun,Guangyuan Zhang"
Spatiotemporal Conflict Analysis and Prediction of Long Time Series Land Cover Changes in the Black Soil Region of Northeast China Using Remote Sensing and GIS.,"Mingyu Yang,Ding Ma,Qingbin Jiao,Xin Tan,Sijia Jiang,Liang Xu"
Geological Hazard Assessment of Secondary Collapses Due to Volcanic Earthquakes on Changbai Mountain in China.,"Zengkai Pan,Yichen Zhang,Jiquan Zhang,Chenglong Yu,Qiuling Lang,Chenyang Wu"
Cross-Attention-Guided Feature Alignment Network for Road Crack Detection.,"Junjian Wang,Zhaoyi Ye,Liye Mei,Qi Zhang,Chuan Xu,Lang Ye,Xiufeng Chang,Wei Yang"
Forecasting Short-Term Passenger Flow of Subway Stations Based on the Temporal Pattern Attention Mechanism and the Long Short-Term Memory Network.,"Jincheng Yang,Lingxiang Wei,Dongjun Guo,Zhilong Chen,Tianliu Feng"
Context-Aware Point-of-Interest Recommendation Based on Similar User Clustering and Tensor Factorization.,"Kaixuan Zhou,Yan Zhou,Shuaixian Chen"
Evaluation of Geological Hazard Susceptibility Based on the Regional Division Information Value Method.,"Jingru Ma,Guangxiang Yuan,Xiaodong Wang"
An Earth Observation Framework in Service of the Sendai Framework for Disaster Risk Reduction 2015-2030.,"Longfei Liu,Jing Li,Adu Gong,Boyi Li,Jinglin Li,Xiang Pan,Zikun Chen,Lingling Li"
Analysis of Spatial and Temporal Distribution Patterns of Traditional Opera Culture along the Beijing-Hangzhou Grand Canal.,"Zewei Zou,Zihan Chen,Jiayi Yang,Di Hu,Yicheng Xu,Ying Zhu"
The Study of Regional Innovation Network Structure: Evidence from the Yangtze River Delta Urban Agglomeration.,"Liang Jiang,Ye Tian,Jing Luo,Jie Chen"
Detecting the Spatial Association between Commercial Sites and Residences in Beijing on the Basis of the Colocation Quotient.,"Chen Wang,Lei Zhou"
